dataset,entry_title*,survey,start_time,end_time,project,description,platform,platformtype,pulsetype,RAW_files,WORK_files,LSSS_files,GRIDDED_files,CALIBRATION_file,METADATA_files,datacenter*,datacenter_person*,originating_institution*,originating_institution_person*,use_constraints*,access_constraints*,location*,iso_topic_category*,gcmd_science_keywords*,southern_latitude*,northern_latitude*,western_longitude*,eastern_longitude*,dataset_progress*,version,url_type*,url*
T2012002,Test set for the CRIMAC preprocessor,S2012837,2012,,CRIMAC,/data/cruise_data/2012/S2012837_PBRENNHOLM_4405,BRENNHOLM_4405,Hull mounted,CW,/data/crimac/2012/T2012002/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2012/T2012002/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2014001,Test set for the CRIMAC preprocessor,S2014119,2014,,CRIMAC,/data/cruise_data/2014/S2014119_PGOSARS_4174,GOSARS_4174,Hull mounted,CW,/data/crimac/2014/T2014001/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2014/T2014001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2014002,Test set for the CRIMAC preprocessor,S2014807,2014,,CRIMAC,/data/cruise_data/2014/S2014807_PEROS_3317,EROS_3317,Hull mounted,CW,/data/crimac/2014/T2014002/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2014/T2014002/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2016001,Test set for the CRIMAC preprocessor,S2016837,2016,,CRIMAC,/data/cruise_data/2016/S2016837_PEROS_3317,EROS_3317,Hull mounted,CW,/data/crimac/2016/T2016001/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2016/T2016001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2016002,Test set for the CRIMAC preprocessor,S2016837_2,2016,,CRIMAC,/data/cruise_data/2016/S2016837_PEROS_3317,EROS_3317,Hull mounted,CW,/data/crimac/2016/T2016002/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2016/T2016002/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2017001,Test set for the CRIMAC preprocessor,PFA_20170428_SCH302,2017,,CRIMAC,"Test data from the pelagic freezer organization, Netherlands",PFA_20170428_SCH302,Hull mounted,CW,/data/crimac/2017/T2017001/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2017/T2017001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,WUR,Benoit Berges,proprietary,proprietary,,,,,,,,,,,
T2017002,Test set for the CRIMAC preprocessor,S2017838,2017,,CRIMAC,/data/cruise_data/2017/S2017838_PEROS_3317,EROS_3317,Hull mounted,CW,/data/crimac/2017/T2017002/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2017/T2017002/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2017003,Test set for the CRIMAC preprocessor,S2017843,2017,,CRIMAC,/data/cruise_data/2017/S2017843_PEROS_3317,EROS_3317,Hull mounted,CW,/data/crimac/2017/T2017003/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2017/T2017003/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2018001,Test set for the CRIMAC preprocessor,PFA_20180407_SCH302,2018,,CRIMAC,"Test data from the pelagic freezer organization, Netherlands",PFA_20180407_SCH302,Hull mounted,CW,/data/crimac/2018/T2018001/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2018/T2018001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,WUR,Benoit Berges,proprietary,proprietary,,,,,,,,,,,
T2019001,Test data: Mesopelagic organisms measured with Messor,S2019703,2019,,MEESO,The full data set is found at: \\ces.hi.no\cruise_data\2019\S2019703_PKRONPRINSHAAKON_9566\OBSERVATION_PLATFORM\MESSOR\EK80\126,KRONPRINSHAAKON_9566,MESSOR,FM,/data/crimac/2019/T2019001/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2019/T2019001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Webjørn Melle,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2019002,Test set for the CRIMAC preprocessor,PFA_20190319_SCH302,2019,,CRIMAC,"Test data from the pelagic freezer organization, Netherlands",PFA_20190319_SCH302,Hull mounted,CW,/data/crimac/2019/T2019002/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2019/T2019002/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,WUR,Benoit Berges,proprietary,proprietary,,,,,,,,,,,
T2019003,Test set for the CRIMAC preprocessor,PFA_20190419_H72,2019,,CRIMAC,"Test data from the pelagic freezer organization, Netherlands",PFA_20190419_H72,Hull mounted,CW,/data/crimac/2019/T2019003/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2019/T2019003/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,WUR,Benoit Berges,proprietary,proprietary,,,,,,,,,,,
T2020001,Test data: Herring measured from GoSars ship mounted echo sounders,S2020116,2020,,CRIMAC,The full data set is found at: \\ces.hi.no\cruise_data\2020\S2020116_PGOSARS_4174\ACOUSTIC\EK80\EK80_ORIGINALRAWDATA,GOSARS_4174,Hull mounted,FM,/data/crimac/2020/T2020001/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2020/T2020001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Egil Ona,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2020002,Test data: Herring measured with TS-probe from GoSars,S2020116,2020,,CRIMAC,The full data set is found at: \\ces.hi.no\cruise_data\2020\S2020116_PGOSARS_4174\OBSERVATION_PLATFORMS\TS_PROBE\TS_PROBE_EK80_RAWDATA\20201121,GOSARS_4174,TS_PROBE,FM,/data/crimac/2020/T2020002/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2020/T2020002/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Egil Ona,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2020003,Test data: Sandeel measured wiht narrowbeam 200 kHz echo sounder from Eros,S2020821,2020,,CRIMAC,The full data set is found at: \\ces.hi.no\cruise_data\2020\S2020821_PEROS_3317\EXPERIMENTS\ES200-3C - med WBT - ekstern - over ripa\20200429_stimar,EROS_3317,Hull mounted,FM,/data/crimac/2020/T2020003/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2020/T2020003/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2020004,Test set for the CRIMAC preprocessor,PFA_20200329_GDY151,2020,,CRIMAC,"Test data from the pelagic freezer organization, Netherlands",PFA_20200329_GDY151,Hull mounted,CW,/data/crimac/2020/T2020004/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2020/T2020004/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,WUR,Benoit Berges,proprietary,proprietary,,,,,,,,,,,
T2020005,Test set for the CRIMAC preprocessor,PFA_20200409_SCH302,2020,,CRIMAC,"Test data from the pelagic freezer organization, Netherlands",PFA_20200409_SCH302,Hull mounted,CW,/data/crimac/2020/T2020005/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2020/T2020005/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,WUR,Benoit Berges,proprietary,proprietary,,,,,,,,,,,
T2020006,Test set for the CRIMAC preprocessor,PFA_20200418_ROS171,2020,,CRIMAC,"Test data from the pelagic freezer organization, Netherlands",PFA_20200418_ROS171,Hull mounted,CW,/data/crimac/2020/T2020006/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2020/T2020006/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,WUR,Benoit Berges,proprietary,proprietary,,,,,,,,,,,
